order_id,customer_id,order_date,status,region_code
1,320.0,2025-11-27 19:00:00,PLACED,SOUTH
2,500.0,2024-04-09 12:00:00,DELIVERED,EAST
3,286.0,2025-01-09 04:00:00,SHIPPED,WEST
4,257.0,2024-02-11 01:00:00,PLACED,SOUTH
5,366.0,2024-12-07 15:00:00,RETURNED,WEST
6,77.0,2025-09-12 16:00:00,SHIPPED,EAST
7,477.0,2025-09-19 10:00:00,SHIPPED,WEST
8,316.0,2024-11-02 18:00:00,DELIVERED,WEST
9,,2025-07-30 09:00:00,CANCELLED,NORTH
10,189.0,2024-12-05 21:00:00,PLACED,WEST
11,,2024-11-11 23:00:00,PLACED,WEST
12,136.0,2025-11-02 18:00:00,RETURNED,SOUTH
13,,2024-02-22 18:00:00,CANCELLED,SOUTH
14,269.0,2025-10-06 23:00:00,RETURNED,WEST
15,76.0,2025-11-28 07:00:00,PLACED,NORTH
16,98.0,2024-01-20 14:00:00,DELIVERED,WEST
17,78.0,2025-02-26 22:00:00,SHIPPED,WEST
18,257.0,2025-09-18 15:00:00,PLACED,SOUTH
19,266.0,2024-07-31 17:00:00,DELIVERED,WEST
20,270.0,2025-01-20 10:00:00,SHIPPED,WEST
21,468.0,2025-06-29 10:00:00,RETURNED,EAST
22,347.0,2025-11-28 20:00:00,DELIVERED,WEST
23,99.0,2024-09-09 08:00:00,RETURNED,EAST
24,116.0,2024-10-31 09:00:00,SHIPPED,WEST
25,,2025-05-06 11:00:00,RETURNED,EAST
26,148.0,2024-05-04 18:00:00,RETURNED,WEST
27,459.0,2025-02-08 11:00:00,SHIPPED,EAST
28,22.0,2024-10-21 22:00:00,PLACED,EAST
29,474.0,2025-03-28 20:00:00,DELIVERED,WEST
30,110.0,2024-07-25 17:00:00,DELIVERED,EAST
31,71.0,2024-04-21 19:00:00,RETURNED,SOUTH
32,125.0,2024-02-21 21:00:00,RETURNED,SOUTH
33,327.0,2024-08-26 01:00:00,PLACED,WEST
34,170.0,2025-04-28 03:00:00,SHIPPED,NORTH
35,,2025-07-17 05:00:00,CANCELLED,WEST
36,245.0,2025-10-28 06:00:00,DELIVERED,EAST
37,147.0,2025-10-23 01:00:00,PLACED,SOUTH
38,274.0,2024-02-08 05:00:00,CANCELLED,SOUTH
39,479.0,2024-02-07 12:00:00,CANCELLED,SOUTH
40,480.0,2024-10-23 01:00:00,PLACED,EAST
41,291.0,2025-09-09 03:00:00,DELIVERED,EAST
42,233.0,2025-10-18 17:00:00,RETURNED,WEST
43,456.0,2024-05-17 16:00:00,CANCELLED,EAST
44,99.0,2024-04-25 10:00:00,SHIPPED,WEST
45,332.0,2024-09-20 22:00:00,SHIPPED,NORTH
46,378.0,2024-12-11 09:00:00,RETURNED,SOUTH
47,90.0,2025-09-17 20:00:00,CANCELLED,WEST
48,264.0,2024-12-01 02:00:00,CANCELLED,NORTH
49,95.0,2024-05-23 15:00:00,DELIVERED,SOUTH
50,4.0,2024-09-24 12:00:00,SHIPPED,WEST
51,386.0,2024-09-30 10:00:00,DELIVERED,NORTH
52,134.0,2025-10-31 11:00:00,SHIPPED,NORTH
53,342.0,2024-05-01 14:00:00,DELIVERED,SOUTH
54,208.0,2025-05-29 22:00:00,DELIVERED,NORTH
55,328.0,2024-10-29 11:00:00,RETURNED,SOUTH
56,113.0,2024-05-16 15:00:00,SHIPPED,WEST
57,383.0,2025-09-12 11:00:00,CANCELLED,WEST
58,388.0,2025-07-04 21:00:00,SHIPPED,SOUTH
59,,2025-09-02 02:00:00,RETURNED,WEST
60,271.0,2025-01-05 02:00:00,RETURNED,NORTH
61,32.0,2025-07-14 16:00:00,SHIPPED,SOUTH
62,85.0,2024-12-01 16:00:00,CANCELLED,NORTH
63,349.0,2024-07-29 22:00:00,RETURNED,WEST
64,47.0,2025-06-06 14:00:00,PLACED,WEST
65,68.0,2025-06-09 13:00:00,CANCELLED,NORTH
66,287.0,2025-04-18 21:00:00,DELIVERED,NORTH
67,203.0,2024-09-17 00:00:00,SHIPPED,NORTH
68,24.0,2025-03-09 11:00:00,PLACED,NORTH
69,479.0,2024-03-11 15:00:00,PLACED,EAST
70,,2024-07-03 04:00:00,CANCELLED,EAST
71,457.0,2025-01-26 14:00:00,CANCELLED,WEST
72,42.0,2025-11-30 21:00:00,RETURNED,SOUTH
73,335.0,2024-12-22 03:00:00,SHIPPED,WEST
74,271.0,2024-05-10 23:00:00,SHIPPED,NORTH
75,388.0,2024-01-24 09:00:00,CANCELLED,WEST
76,273.0,2025-01-23 07:00:00,SHIPPED,WEST
77,178.0,2024-06-07 08:00:00,SHIPPED,NORTH
78,17.0,02-03-2024,RETURNED,NORTH
79,124.0,2024-07-30 02:00:00,PLACED,NORTH
80,229.0,2025-09-04 21:00:00,PLACED,SOUTH
81,380.0,2024-02-15 12:00:00,CANCELLED,SOUTH
82,277.0,2024-08-10 01:00:00,SHIPPED,EAST
83,120.0,2025-08-12 10:00:00,RETURNED,EAST
84,122.0,2024-11-05 04:00:00,RETURNED,SOUTH
85,212.0,2024-11-03 08:00:00,PLACED,SOUTH
86,321.0,2025-11-26 13:00:00,RETURNED,WEST
87,25.0,2024-12-18 20:00:00,CANCELLED,EAST
88,357.0,2025-03-02 13:00:00,SHIPPED,EAST
89,,2024-07-07 17:00:00,CANCELLED,SOUTH
90,435.0,2024-08-18 09:00:00,SHIPPED,WEST
91,469.0,2024-02-29 17:00:00,CANCELLED,WEST
92,286.0,2025-06-26 04:00:00,CANCELLED,SOUTH
93,131.0,2024-07-27 10:00:00,PLACED,WEST
94,434.0,2025-01-14 02:00:00,RETURNED,SOUTH
95,,2024-10-01 12:00:00,RETURNED,NORTH
96,448.0,2024-03-15 06:00:00,RETURNED,SOUTH
97,246.0,2024-08-01 10:00:00,DELIVERED,NORTH
98,109.0,2024-07-13 23:00:00,PLACED,WEST
99,469.0,2024-09-05 22:00:00,RETURNED,SOUTH
100,204.0,2024-09-02 17:00:00,DELIVERED,EAST
101,,2025-04-22 17:00:00,DELIVERED,EAST
102,134.0,2025-01-03 16:00:00,CANCELLED,WEST
103,51.0,2025-04-25 10:00:00,SHIPPED,EAST
104,161.0,2025-02-27 01:00:00,RETURNED,SOUTH
105,380.0,2024-05-29 00:00:00,DELIVERED,WEST
106,152.0,2024-06-05 06:00:00,DELIVERED,SOUTH
