item_id,order_id,product_id,quantity,unit_price,discount_percent
1,1,56,2,2749.1,12.94
2,1,315,1,4571.79,21.46
3,2,18,1,445.02,21.83
4,3,10,4,829.39,19.21
5,3,478,1,3356.57,7.99
6,4,169,4,2915.74,15.46
7,4,482,4,2442.88,12.12
8,4,373,1,2746.63,0.1
9,5,419,4,693.9,16.06
10,5,184,3,3441.0,12.02
11,5,324,1,1890.24,25.6
12,6,42,4,3826.22,8.7
13,6,104,2,2816.93,29.03
14,7,98,3,3509.82,26.89
15,7,323,3,2483.87,26.56
16,7,225,2,785.72,5.79
17,8,304,2,2497.24,1.89
18,8,277,3,2548.45,28.95
19,8,416,4,4836.21,0.49
22,10,482,-5,829.87,17.38
23,10,474,1,280.7,4.25
27,12,88,5,413.39,24.52
28,12,59,4,3015.39,18.47
29,12,33,2,2188.44,24.35
33,14,33,1,1442.08,22.73
34,14,87,3,2811.7,13.16
35,15,21,2,589.84,25.42
36,15,314,4,3910.54,0.47
37,15,250,1,131.11,5.38
38,16,362,5,4445.88,12.49
39,17,355,2,1110.19,19.19
40,17,268,-4,2118.95,28.14
41,18,355,1,3021.73,21.52
42,18,314,1,3173.24,23.48
43,18,179,4,122.39,7.07
44,19,272,1,3132.71,25.88
45,20,260,2,2374.66,18.79
46,20,107,3,360.04,3.38
47,20,77,4,2537.82,4.79
48,21,28,3,1496.82,13.04
49,22,316,-4,312.26,22.21
50,22,474,5,961.85,23.56
51,23,264,1,447.21,7.06
52,23,228,5,2940.83,12.57
53,24,347,3,1227.31,3.3
54,24,117,1,1261.88,12.38
55,24,103,4,4467.69,2.21
59,26,104,3,723.34,20.77
60,26,31,3,768.86,25.55
61,27,215,2,3825.66,6.6
62,27,152,5,868.26,23.84
63,28,464,2,2932.8,16.58
64,28,118,1,2117.31,15.65
65,28,442,-2,2998.75,25.11
66,29,8,4,3707.28,7.4
67,29,168,4,2939.39,26.75
68,30,485,2,4577.4,26.95
69,30,214,1,296.29,14.12
70,30,394,5,264.74,15.93
71,31,415,1,2316.96,7.22
72,31,286,1,3496.48,12.2
73,32,68,3,1549.37,19.43
74,33,9,-4,3378.27,4.85
75,34,440,5,3761.7,0.73
76,34,233,4,3881.99,26.23
79,36,17,3,2186.92,8.09
80,36,485,5,2757.93,23.83
81,36,404,1,3140.23,10.07
82,37,264,3,4451.09,3.33
83,38,239,-5,300.28,10.99
84,38,332,5,3553.88,16.82
85,39,71,3,1269.3,3.41
86,40,378,5,4368.54,21.09
87,40,386,2,1670.27,26.94
88,41,349,4,1458.01,1.9
