order_id,customer_id,order_date,status,region_code
1,320,2025-11-27 19:00:00,PLACED,SOUTH
2,500,2024-04-09 12:00:00,DELIVERED,EAST
3,286,2025-01-09 04:00:00,SHIPPED,WEST
4,257,2024-02-11 01:00:00,PLACED,SOUTH
5,366,2024-12-07 15:00:00,RETURNED,WEST
6,77,2025-09-12 16:00:00,SHIPPED,EAST
7,477,2025-09-19 10:00:00,SHIPPED,WEST
8,316,2024-11-02 18:00:00,DELIVERED,WEST
10,189,2024-12-05 21:00:00,PLACED,WEST
12,136,2025-11-02 18:00:00,RETURNED,SOUTH
14,269,2025-10-06 23:00:00,RETURNED,WEST
15,76,2025-11-28 07:00:00,PLACED,NORTH
16,98,2024-01-20 14:00:00,DELIVERED,WEST
17,78,2025-02-26 22:00:00,SHIPPED,WEST
18,257,2025-09-18 15:00:00,PLACED,SOUTH
19,266,2024-07-31 17:00:00,DELIVERED,WEST
20,270,2025-01-20 10:00:00,SHIPPED,WEST
21,468,2025-06-29 10:00:00,RETURNED,EAST
22,347,2025-11-28 20:00:00,DELIVERED,WEST
23,99,2024-09-09 08:00:00,RETURNED,EAST
24,116,2024-10-31 09:00:00,SHIPPED,WEST
26,148,2024-05-04 18:00:00,RETURNED,WEST
27,459,2025-02-08 11:00:00,SHIPPED,EAST
28,22,2024-10-21 22:00:00,PLACED,EAST
29,474,2025-03-28 20:00:00,DELIVERED,WEST
30,110,2024-07-25 17:00:00,DELIVERED,EAST
31,71,2024-04-21 19:00:00,RETURNED,SOUTH
32,125,2024-02-21 21:00:00,RETURNED,SOUTH
33,327,2024-08-26 01:00:00,PLACED,WEST
34,170,2025-04-28 03:00:00,SHIPPED,NORTH
36,245,2025-10-28 06:00:00,DELIVERED,EAST
37,147,2025-10-23 01:00:00,PLACED,SOUTH
38,274,2024-02-08 05:00:00,CANCELLED,SOUTH
39,479,2024-02-07 12:00:00,CANCELLED,SOUTH
40,480,2024-10-23 01:00:00,PLACED,EAST
41,291,2025-09-09 03:00:00,DELIVERED,EAST
